service_order_no,account_number,order_date,site_address,description,erp_status,order_type,parent_service_order_no,nte_amount
211665,ACC-1007,2025-01-27,"1282 Commerce Dr, New Orleans, LA",New tenant lock change,in_progress,initial,,500
211686,ACC-1007,2025-01-28,"1199 Industrial Pkwy, New Orleans, LA",Door closer replacement - multiple units,completed,initial,,2000
211698,ACC-1005,2025-01-28,"8670 Commerce Dr, Memphis, TN",Scheduled hardware maintenance,completed,initial,,1000
211608,ACC-1004,2025-01-29,"2745 Commerce Dr, Kansas City, MO",Replace exterior door hardware - main entrance,in_progress,initial,,1000
500191,ACC-1001,2025-02-01,"9774 Commerce Dr, Denver, CO",Rekey building - management request,open,return,211713,2500
211643,ACC-1001,2025-02-02,"628 Broadway, Denver, CO",Emergency service - lock malfunction,completed,initial,,2500
500104,ACC-1004,2025-02-03,"1477 Commerce Dr, Kansas City, MO",Install card readers - 3 doors,completed,return,211604,500
211629,ACC-1006,2025-02-03,"9985 Airport Rd, Raleigh, NC",Install card readers - 3 doors,completed,initial,,500
211689,ACC-1004,2025-02-03,"8158 Commerce Dr, Kansas City, MO",Repair panic bar - east stairwell,completed,initial,,
211620,ACC-1001,2025-02-04,"6009 Main St, Denver, CO",ADA operator install - front lobby,completed,initial,,2000
500181,ACC-1005,2025-02-04,"8670 Commerce Dr, Memphis, TN",Scheduled hardware maintenance,in_progress,return,211698,1000
211619,ACC-1009,2025-02-05,"8681 Airport Rd, Boise, ID",New tenant lock change,completed,initial,,500
211703,ACC-1004,2025-02-06,"6869 Industrial Pkwy, Kansas City, MO",Scheduled hardware maintenance,completed,initial,,2500
500193,ACC-1003,2025-02-06,"3458 Commerce Dr, Madison, WI",Door closer replacement - multiple units,completed,return,211715,1500
500112,ACC-1001,2025-02-08,"6340 Airport Rd, Denver, CO",Install card readers - 3 doors,in_progress,return,211613,2500
211618,ACC-1008,2025-02-08,"4755 Airport Rd, Columbus, OH",Repair panic bar - east stairwell,completed,initial,,500
500108,ACC-1004,2025-02-10,"2745 Commerce Dr, Kansas City, MO",Replace exterior door hardware - main entrance,completed,return,211608,1000
500169,ACC-1007,2025-02-10,"2725 Industrial Pkwy, New Orleans, LA",New tenant lock change,in_progress,return,211681,2000
211709,ACC-1004,2025-02-10,"5455 Industrial Pkwy, Kansas City, MO",ADA operator install - front lobby,completed,initial,,1500
211656,ACC-1008,2025-02-13,"1885 Main St, Columbus, OH",Install access control panel - loading dock,open,initial,,1500
500155,ACC-1007,2025-02-13,"1282 Commerce Dr, New Orleans, LA",New tenant lock change,in_progress,return,211665,500
500134,ACC-1004,2025-02-14,"2962 Commerce Dr, Kansas City, MO",Scheduled hardware maintenance,in_progress,return,211639,500
500118,ACC-1009,2025-02-15,"8681 Airport Rd, Boise, ID",New tenant lock change,open,return,211619,500
211692,ACC-1004,2025-02-16,"6710 Industrial Pkwy, Kansas City, MO",Install card readers - 3 doors,completed,initial,,
211654,ACC-1001,2025-02-17,"6544 Broadway, Denver, CO",Door closer replacement - multiple units,in_progress,initial,,
500148,ACC-1008,2025-02-19,"1885 Main St, Columbus, OH",Install access control panel - loading dock,completed,return,211656,1500
211658,ACC-1008,2025-02-19,"5397 Commerce Dr, Columbus, OH",Emergency service - lock malfunction,completed,initial,,500
211612,ACC-1006,2025-02-20,"2389 Broadway, Raleigh, NC",Door closer replacement - multiple units,completed,initial,,500
500125,ACC-1006,2025-02-21,"9985 Airport Rd, Raleigh, NC",Install card readers - 3 doors,in_progress,return,211629,500
500137,ACC-1001,2025-02-21,"628 Broadway, Denver, CO",Emergency service - lock malfunction,completed,return,211643,2500
500185,ACC-1004,2025-02-22,"6869 Industrial Pkwy, Kansas City, MO",Scheduled hardware maintenance,completed,return,211703,2500
211714,ACC-1004,2025-02-22,"1934 Main St, Kansas City, MO",Replace exterior door hardware - main entrance,open,initial,,
500119,ACC-1001,2025-02-24,"6009 Main St, Denver, CO",ADA operator install - front lobby,completed,return,211620,2000
211615,ACC-1005,2025-02-25,"5942 Industrial Pkwy, Memphis, TN",Replace exterior door hardware - main entrance,completed,initial,,1500
500146,ACC-1001,2025-02-25,"6544 Broadway, Denver, CO",Door closer replacement - multiple units,in_progress,return,211654,
500117,ACC-1008,2025-02-27,"4755 Airport Rd, Columbus, OH",Repair panic bar - east stairwell,completed,return,211618,500
500176,ACC-1004,2025-02-27,"6710 Industrial Pkwy, Kansas City, MO",Install card readers - 3 doors,open,return,211692,
211650,ACC-1006,2025-02-28,"8176 Main St, Raleigh, NC",Door closer replacement - multiple units,completed,initial,,
211668,ACC-1004,2025-03-02,"2612 Commerce Dr, Kansas City, MO",New tenant lock change,completed,initial,,1000
500188,ACC-1004,2025-03-02,"5455 Industrial Pkwy, Kansas City, MO",ADA operator install - front lobby,completed,return,211709,1500
500111,ACC-1006,2025-03-03,"2389 Broadway, Raleigh, NC",Door closer replacement - multiple units,completed,return,211612,500
211644,ACC-1008,2025-03-05,"1886 Industrial Pkwy, Columbus, OH",Repair panic bar - east stairwell,completed,initial,,1000
211632,ACC-1005,2025-03-06,"6198 Main St, Memphis, TN",ADA operator install - front lobby,completed,initial,,2000
500150,ACC-1008,2025-03-06,"5397 Commerce Dr, Columbus, OH",Emergency service - lock malfunction,open,return,211658,500
211662,ACC-1007,2025-03-06,"7144 Broadway, New Orleans, LA",Repair panic bar - east stairwell,in_progress,initial,,2000
211694,ACC-1002,2025-03-06,"8876 Broadway, Charleston, SC",Door closer replacement - multiple units,completed,initial,,1500
500192,ACC-1004,2025-03-06,"1934 Main St, Kansas City, MO",Replace exterior door hardware - main entrance,completed,return,211714,
211691,ACC-1003,2025-03-07,"8328 Broadway, Madison, WI",Rekey building - management request,in_progress,initial,,2500
211706,ACC-1002,2025-03-08,"3905 Main St, Charleston, SC",Install access control panel - loading dock,completed,initial,,1500
211621,ACC-1008,2025-03-09,"154 Broadway, Columbus, OH",Install access control panel - loading dock,completed,initial,,
500143,ACC-1006,2025-03-09,"8176 Main St, Raleigh, NC",Door closer replacement - multiple units,open,return,211650,
211652,ACC-1004,2025-03-09,"4932 Main St, Kansas City, MO",New tenant lock change,completed,initial,,2000
211628,ACC-1008,2025-03-10,"6438 Industrial Pkwy, Columbus, OH",Rekey building - management request,completed,initial,,500
211634,ACC-1004,2025-03-10,"7247 Airport Rd, Kansas City, MO",Door closer replacement - multiple units,completed,initial,,1000
500158,ACC-1004,2025-03-12,"2612 Commerce Dr, Kansas City, MO",New tenant lock change,completed,return,211668,1000
211641,ACC-1008,2025-03-13,"9509 Commerce Dr, Columbus, OH",Repair panic bar - east stairwell,completed,initial,,
500177,ACC-1002,2025-03-13,"8876 Broadway, Charleston, SC",Door closer replacement - multiple units,in_progress,return,211694,1500
211609,ACC-1004,2025-03-16,"7402 Airport Rd, Kansas City, MO",Repair panic bar - east stairwell,completed,initial,,1500
500114,ACC-1005,2025-03-16,"5942 Industrial Pkwy, Memphis, TN",Replace exterior door hardware - main entrance,completed,return,211615,1500
211667,ACC-1005,2025-03-17,"4677 Airport Rd, Memphis, TN",Install card readers - 3 doors,in_progress,initial,,1500
500128,ACC-1005,2025-03-20,"6198 Main St, Memphis, TN",ADA operator install - front lobby,completed,return,211632,2000
500175,ACC-1003,2025-03-20,"8328 Broadway, Madison, WI",Rekey building - management request,in_progress,return,211691,2500
500136,ACC-1008,2025-03-22,"9509 Commerce Dr, Columbus, OH",Repair panic bar - east stairwell,open,return,211641,
500138,ACC-1008,2025-03-22,"1886 Industrial Pkwy, Columbus, OH",Repair panic bar - east stairwell,open,return,211644,1000
500129,ACC-1004,2025-03-26,"7247 Airport Rd, Kansas City, MO",Door closer replacement - multiple units,completed,return,211634,1000
500109,ACC-1004,2025-03-27,"7402 Airport Rd, Kansas City, MO",Repair panic bar - east stairwell,open,return,211609,1500
500124,ACC-1008,2025-03-29,"6438 Industrial Pkwy, Columbus, OH",Rekey building - management request,in_progress,return,211628,500
211712,ACC-1003,2025-03-30,"2423 Main St, Madison, WI",Replace exterior door hardware - main entrance,in_progress,initial,,500
211690,ACC-1002,2025-03-31,"4232 Industrial Pkwy, Charleston, SC",Door closer replacement - multiple units,in_progress,initial,,2500
211660,ACC-1006,2025-04-03,"4561 Commerce Dr, Raleigh, NC",New tenant lock change,in_progress,initial,,500
500157,ACC-1005,2025-04-03,"4677 Airport Rd, Memphis, TN",Install card readers - 3 doors,in_progress,return,211667,1500
500190,ACC-1003,2025-04-03,"2423 Main St, Madison, WI",Replace exterior door hardware - main entrance,completed,return,211712,500
211679,ACC-1010,2025-04-05,"8365 Industrial Pkwy, Salt Lake City, UT",Repair panic bar - east stairwell,in_progress,initial,,1500
211671,ACC-1002,2025-04-06,"8499 Industrial Pkwy, Charleston, SC",Emergency service - lock malfunction,in_progress,initial,,2500
211688,ACC-1009,2025-04-07,"2331 Main St, Boise, ID",Install access control panel - loading dock,completed,initial,,2500
211657,ACC-1004,2025-04-08,"5943 Commerce Dr, Kansas City, MO",ADA operator install - front lobby,open,initial,,500
211642,ACC-1004,2025-04-09,"6649 Broadway, Kansas City, MO",ADA operator install - front lobby,completed,initial,,1500
500160,ACC-1002,2025-04-09,"8499 Industrial Pkwy, Charleston, SC",Emergency service - lock malfunction,open,return,211671,2500
211647,ACC-1004,2025-04-10,"4374 Industrial Pkwy, Kansas City, MO",New tenant lock change,open,initial,,500
500167,ACC-1010,2025-04-10,"8365 Industrial Pkwy, Salt Lake City, UT",Repair panic bar - east stairwell,open,return,211679,1500
211711,ACC-1004,2025-04-11,"9690 Main St, Kansas City, MO",New tenant lock change,in_progress,initial,,1000
211675,ACC-1003,2025-04-12,"4542 Broadway, Madison, WI",Install card readers - 3 doors,completed,initial,,
211700,ACC-1005,2025-04-13,"4429 Main St, Memphis, TN",Replace exterior door hardware - main entrance,completed,initial,,
211605,ACC-1005,2025-04-14,"2547 Airport Rd, Memphis, TN",Scheduled hardware maintenance,completed,initial,,2500
211637,ACC-1005,2025-04-14,"4010 Commerce Dr, Memphis, TN",Emergency service - lock malfunction,completed,initial,,2500
500151,ACC-1006,2025-04-16,"4561 Commerce Dr, Raleigh, NC",New tenant lock change,completed,return,211660,500
211653,ACC-1008,2025-04-17,"1024 Airport Rd, Columbus, OH",Repair panic bar - east stairwell,open,initial,,2000
211666,ACC-1003,2025-04-17,"7651 Airport Rd, Madison, WI",Rekey building - management request,completed,initial,,
500189,ACC-1004,2025-04-17,"9690 Main St, Kansas City, MO",New tenant lock change,completed,return,211711,1000
211606,ACC-1003,2025-04-19,"1286 Commerce Dr, Madison, WI",Replace exterior door hardware - main entrance,open,initial,,
211600,ACC-1004,2025-04-20,"1298 Industrial Pkwy, Kansas City, MO",Install card readers - 3 doors,completed,initial,,500
500132,ACC-1005,2025-04-22,"4010 Commerce Dr, Memphis, TN",Emergency service - lock malfunction,open,return,211637,2500
500149,ACC-1004,2025-04-22,"5943 Commerce Dr, Kansas City, MO",ADA operator install - front lobby,completed,return,211657,500
211717,ACC-1001,2025-04-22,"8597 Main St, Denver, CO",Door closer replacement - multiple units,completed,initial,,2000
500156,ACC-1003,2025-04-23,"7651 Airport Rd, Madison, WI",Rekey building - management request,completed,return,211666,
500145,ACC-1008,2025-04-24,"1024 Airport Rd, Columbus, OH",Repair panic bar - east stairwell,completed,return,211653,2000
211695,ACC-1002,2025-04-24,"3869 Industrial Pkwy, Charleston, SC",New tenant lock change,completed,initial,,
500105,ACC-1005,2025-04-25,"2547 Airport Rd, Memphis, TN",Scheduled hardware maintenance,open,return,211605,2500
211614,ACC-1005,2025-04-25,"159 Commerce Dr, Memphis, TN",Door closer replacement - multiple units,completed,initial,,1500
211670,ACC-1004,2025-04-25,"6225 Main St, Kansas City, MO",Install card readers - 3 doors,in_progress,initial,,1000
211607,ACC-1002,2025-04-27,"289 Commerce Dr, Charleston, SC",Scheduled hardware maintenance,completed,initial,,2000
500140,ACC-1004,2025-04-27,"4374 Industrial Pkwy, Kansas City, MO",New tenant lock change,in_progress,return,211647,500
211603,ACC-1009,2025-04-28,"7316 Main St, Boise, ID",ADA operator install - front lobby,completed,initial,,1500
211678,ACC-1006,2025-04-28,"2763 Industrial Pkwy, Raleigh, NC",Replace exterior door hardware - main entrance,completed,initial,,500
500106,ACC-1003,2025-04-29,"1286 Commerce Dr, Madison, WI",Replace exterior door hardware - main entrance,open,return,211606,
211659,ACC-1001,2025-04-29,"1125 Main St, Denver, CO",Install card readers - 3 doors,completed,initial,,1000
211601,ACC-1003,2025-04-30,"3697 Main St, Madison, WI",ADA operator install - front lobby,in_progress,initial,,2000
500195,ACC-1001,2025-05-01,"8597 Main St, Denver, CO",Door closer replacement - multiple units,completed,return,211717,2000
211627,ACC-1002,2025-05-02,"386 Commerce Dr, Charleston, SC",Emergency service - lock malfunction,completed,initial,,500
211699,ACC-1010,2025-05-02,"2698 Industrial Pkwy, Salt Lake City, UT",Replace exterior door hardware - main entrance,completed,initial,,1000
500103,ACC-1009,2025-05-03,"7316 Main St, Boise, ID",ADA operator install - front lobby,open,return,211603,1500
500100,ACC-1004,2025-05-04,"1298 Industrial Pkwy, Kansas City, MO",Install card readers - 3 doors,open,return,211600,500
500107,ACC-1002,2025-05-04,"289 Commerce Dr, Charleston, SC",Scheduled hardware maintenance,open,return,211607,2000
211674,ACC-1009,2025-05-04,"1136 Broadway, Boise, ID",Install access control panel - loading dock,completed,initial,,2000
500113,ACC-1005,2025-05-05,"159 Commerce Dr, Memphis, TN",Door closer replacement - multiple units,open,return,211614,1500
211636,ACC-1005,2025-05-05,"902 Airport Rd, Memphis, TN",Repair panic bar - east stairwell,completed,initial,,1000
211685,ACC-1010,2025-05-06,"7723 Industrial Pkwy, Salt Lake City, UT",Emergency service - lock malfunction,completed,initial,,2500
500182,ACC-1010,2025-05-07,"2698 Industrial Pkwy, Salt Lake City, UT",Replace exterior door hardware - main entrance,completed,return,211699,1000
211638,ACC-1009,2025-05-08,"9117 Industrial Pkwy, Boise, ID",Emergency service - lock malfunction,completed,initial,,1500
500101,ACC-1003,2025-05-10,"3697 Main St, Madison, WI",ADA operator install - front lobby,in_progress,return,211601,2000
211616,ACC-1004,2025-05-10,"181 Main St, Kansas City, MO",Install card readers - 3 doors,in_progress,initial,,500
211687,ACC-1009,2025-05-11,"767 Main St, Boise, ID",Repair panic bar - east stairwell,completed,initial,,500
211704,ACC-1003,2025-05-11,"5168 Main St, Madison, WI",Install card readers - 3 doors,open,initial,,
211602,ACC-1007,2025-05-12,"6716 Commerce Dr, New Orleans, LA",ADA operator install - front lobby,completed,initial,,1000
500166,ACC-1006,2025-05-13,"2763 Industrial Pkwy, Raleigh, NC",Replace exterior door hardware - main entrance,open,return,211678,500
500178,ACC-1002,2025-05-13,"3869 Industrial Pkwy, Charleston, SC",New tenant lock change,in_progress,return,211695,
500173,ACC-1010,2025-05-14,"7723 Industrial Pkwy, Salt Lake City, UT",Emergency service - lock malfunction,completed,return,211685,2500
500133,ACC-1009,2025-05-15,"9117 Industrial Pkwy, Boise, ID",Emergency service - lock malfunction,completed,return,211638,1500
500159,ACC-1004,2025-05-16,"6225 Main St, Kansas City, MO",Install card readers - 3 doors,in_progress,return,211670,1000
500131,ACC-1005,2025-05-17,"902 Airport Rd, Memphis, TN",Repair panic bar - east stairwell,in_progress,return,211636,1000
211635,ACC-1007,2025-05-22,"9098 Industrial Pkwy, New Orleans, LA",Install access control panel - loading dock,completed,initial,,500
500163,ACC-1009,2025-05-24,"1136 Broadway, Boise, ID",Install access control panel - loading dock,open,return,211674,2000
500115,ACC-1004,2025-05-25,"181 Main St, Kansas City, MO",Install card readers - 3 doors,open,return,211616,500
500102,ACC-1007,2025-05-26,"6716 Commerce Dr, New Orleans, LA",ADA operator install - front lobby,open,return,211602,1000
211718,ACC-1002,2025-05-28,"4804 Industrial Pkwy, Charleston, SC",ADA operator install - front lobby,completed,initial,,500
500130,ACC-1007,2025-05-29,"9098 Industrial Pkwy, New Orleans, LA",Install access control panel - loading dock,completed,return,211635,500
211684,ACC-1005,2025-05-30,"4183 Broadway, Memphis, TN",ADA operator install - front lobby,completed,initial,,
500174,ACC-1009,2025-05-30,"767 Main St, Boise, ID",Repair panic bar - east stairwell,open,return,211687,500
500196,ACC-1002,2025-06-01,"4804 Industrial Pkwy, Charleston, SC",ADA operator install - front lobby,open,return,211718,500
500172,ACC-1005,2025-06-07,"4183 Broadway, Memphis, TN",ADA operator install - front lobby,open,return,211684,
211617,ACC-1005,2025-06-11,"3914 Main St, Memphis, TN",New tenant lock change,completed,initial,,2500
211624,ACC-1010,2025-06-11,"3348 Main St, Salt Lake City, UT",New tenant lock change,completed,initial,,1000
211646,ACC-1009,2025-06-12,"7266 Main St, Boise, ID",Install access control panel - loading dock,completed,initial,,500
211708,ACC-1005,2025-06-14,"3655 Main St, Memphis, TN",Scheduled hardware maintenance,in_progress,initial,,500
211648,ACC-1006,2025-06-15,"4070 Broadway, Raleigh, NC",Scheduled hardware maintenance,completed,initial,,1000
211701,ACC-1010,2025-06-15,"9577 Broadway, Salt Lake City, UT",New tenant lock change,completed,initial,,2500
211669,ACC-1004,2025-06-16,"1747 Broadway, Kansas City, MO",Replace exterior door hardware - main entrance,open,initial,,500
211655,ACC-1003,2025-06-17,"8698 Broadway, Madison, WI",Replace exterior door hardware - main entrance,completed,initial,,1500
211611,ACC-1002,2025-06-18,"7180 Broadway, Charleston, SC",Scheduled hardware maintenance,completed,initial,,2000
211622,ACC-1002,2025-06-18,"8717 Main St, Charleston, SC",Emergency service - lock malfunction,completed,initial,,1500
500183,ACC-1010,2025-06-18,"9577 Broadway, Salt Lake City, UT",New tenant lock change,open,return,211701,2500
211696,ACC-1010,2025-06-19,"5222 Main St, Salt Lake City, UT",Replace exterior door hardware - main entrance,in_progress,initial,,1000
500121,ACC-1010,2025-06-23,"3348 Main St, Salt Lake City, UT",New tenant lock change,completed,return,211624,1000
500116,ACC-1005,2025-06-26,"3914 Main St, Memphis, TN",New tenant lock change,completed,return,211617,2500
500110,ACC-1002,2025-06-27,"7180 Broadway, Charleston, SC",Scheduled hardware maintenance,completed,return,211611,2000
211663,ACC-1005,2025-06-27,"2579 Airport Rd, Memphis, TN",Rekey building - management request,completed,initial,,1500
211710,ACC-1009,2025-06-28,"204 Main St, Boise, ID",ADA operator install - front lobby,in_progress,initial,,
211626,ACC-1005,2025-07-01,"8562 Commerce Dr, Memphis, TN",Emergency service - lock malfunction,completed,initial,,2000
500141,ACC-1006,2025-07-01,"4070 Broadway, Raleigh, NC",Scheduled hardware maintenance,completed,return,211648,1000
500147,ACC-1003,2025-07-01,"8698 Broadway, Madison, WI",Replace exterior door hardware - main entrance,completed,return,211655,1500
211672,ACC-1010,2025-07-01,"5829 Industrial Pkwy, Salt Lake City, UT",Replace exterior door hardware - main entrance,completed,initial,,1500
500153,ACC-1005,2025-07-02,"2579 Airport Rd, Memphis, TN",Rekey building - management request,completed,return,211663,1500
211707,ACC-1005,2025-07-02,"960 Commerce Dr, Memphis, TN",Scheduled hardware maintenance,completed,initial,,
211705,ACC-1008,2025-07-03,"8921 Main St, Columbus, OH",ADA operator install - front lobby,completed,initial,,2000
211716,ACC-1001,2025-07-03,"6129 Commerce Dr, Denver, CO",New tenant lock change,completed,initial,,2500
500179,ACC-1010,2025-07-05,"5222 Main St, Salt Lake City, UT",Replace exterior door hardware - main entrance,completed,return,211696,1000
211623,ACC-1004,2025-07-06,"3462 Industrial Pkwy, Kansas City, MO",Emergency service - lock malfunction,completed,initial,,2000
211677,ACC-1007,2025-07-06,"6735 Industrial Pkwy, New Orleans, LA",Replace exterior door hardware - main entrance,completed,initial,,2000
500194,ACC-1001,2025-07-06,"6129 Commerce Dr, Denver, CO",New tenant lock change,completed,return,211716,2500
211610,ACC-1001,2025-07-07,"8384 Airport Rd, Denver, CO",Rekey building - management request,completed,initial,,2500
211651,ACC-1005,2025-07-09,"8371 Main St, Memphis, TN",Rekey building - management request,completed,initial,,2000
211676,ACC-1005,2025-07-10,"9381 Commerce Dr, Memphis, TN",ADA operator install - front lobby,open,initial,,2000
211640,ACC-1001,2025-07-11,"6863 Broadway, Denver, CO",ADA operator install - front lobby,completed,initial,,
500165,ACC-1007,2025-07-11,"6735 Industrial Pkwy, New Orleans, LA",Replace exterior door hardware - main entrance,completed,return,211677,2000
211664,ACC-1007,2025-07-12,"2720 Industrial Pkwy, New Orleans, LA",ADA operator install - front lobby,completed,initial,,500
500161,ACC-1010,2025-07-12,"5829 Industrial Pkwy, Salt Lake City, UT",Replace exterior door hardware - main entrance,open,return,211672,1500
211680,ACC-1008,2025-07-12,"3333 Commerce Dr, Columbus, OH",Repair panic bar - east stairwell,completed,initial,,500
211683,ACC-1009,2025-07-13,"724 Commerce Dr, Boise, ID",Install access control panel - loading dock,completed,initial,,2000
500168,ACC-1008,2025-07-16,"3333 Commerce Dr, Columbus, OH",Repair panic bar - east stairwell,completed,return,211680,500
500120,ACC-1004,2025-07-18,"3462 Industrial Pkwy, Kansas City, MO",Emergency service - lock malfunction,completed,return,211623,2000
500144,ACC-1005,2025-07-18,"8371 Main St, Memphis, TN",Rekey building - management request,in_progress,return,211651,2000
500186,ACC-1008,2025-07-20,"8921 Main St, Columbus, OH",ADA operator install - front lobby,in_progress,return,211705,2000
500123,ACC-1005,2025-07-21,"8562 Commerce Dr, Memphis, TN",Emergency service - lock malfunction,in_progress,return,211626,2000
500187,ACC-1005,2025-07-21,"960 Commerce Dr, Memphis, TN",Scheduled hardware maintenance,completed,return,211707,
500135,ACC-1001,2025-07-24,"6863 Broadway, Denver, CO",ADA operator install - front lobby,completed,return,211640,
500164,ACC-1005,2025-07-24,"9381 Commerce Dr, Memphis, TN",ADA operator install - front lobby,completed,return,211676,2000
500171,ACC-1009,2025-07-25,"724 Commerce Dr, Boise, ID",Install access control panel - loading dock,completed,return,211683,2000
500154,ACC-1007,2025-08-01,"2720 Industrial Pkwy, New Orleans, LA",ADA operator install - front lobby,in_progress,return,211664,500
